mineral_name,rruff_chemistry,ima_chemistry,chemistry_elements
Maghrebite,MgAl_2_(As^5+^O_4_)_2_(OH)_2_·8H_2_O,MgAl<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Mg Al As O H
Magnesioaubertite,MgAl(S^6+^O_4_)_2_Cl·14H_2_O,MgAl(SO<sub>4</sub>)<sub>2</sub>Cl·14H<sub>2</sub>O,Mg Al S O Cl H
Magnesiobermanite,MgMn^3+^_2_(PO_4_)_2_(OH)_2_·4H_2_O,MgMn<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,Mg Mn P O H
Magnesiocopiapite,MgFe^3+^_4_(S^6+^O_4_)_6_(OH)_2_·20H_2_O,MgFe<sup>3+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>6</sub>(OH)<sub>2</sub>·20H<sub>2</sub>O,Mg Fe S O H
Magnesiokoritnigite,Mg(As^5+^O_3_OH)·H_2_O,Mg(AsO<sub>3</sub>OH)·H<sub>2</sub>O,Mg As O H
Magnesioleydetite,Mg(U^6+^O_2_)(S^6+^O_4_)_2_·11H_2_O,Mg(UO<sub>2</sub>)(SO<sub>4</sub>)<sub>2</sub>·11H<sub>2</sub>O,Mg U O S H
Magnesiopascoite,Ca_2_MgV^5+^_10_O_28_·16H_2_O,Ca<sub>2</sub>MgV<sup>5+</sup><sub>10</sub>O<sub>28</sub>·16H<sub>2</sub>O,Ca Mg V O H
Magnesiozippeite,Mg(U^6+^O_2_)_2_(S^6+^O_4_)O_2_·3.5H_2_O,Mg(UO<sub>2</sub>)<sub>2</sub>(SO<sub>4</sub>)O<sub>2</sub>·3.5H<sub>2</sub>O,Mg U O S H
Mahnertite,"(Na,Ca,K)Cu^2+^_3_(As^5+^O_4_)_2_Cl·5H_2_O","(Na,Ca,K)Cu<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>Cl·5H<sub>2</sub>O",Na Ca K Cu As O Cl H
Makatite,Na_2_Si_4_O_8_(OH)_2_·4H_2_O,Na<sub>2</sub>Si<sub>4</sub>O<sub>8</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,Na Si O H
Malhmoodite,Fe^2+^Zr^4+^(P^5+^O_4_)_2_·4H_2_O,Fe<sup>2+</sup>Zr(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Fe Zr P O H
Mallardite,Mn^ 2+^S^6+^O_4_·7H_2_O,Mn(SO<sub>4</sub>)·7H<sub>2</sub>O,Mn S O H
Mallestigite,Pb^2+^_3_Sb^5+^(S^6+^O_4_)(As^5+^O_4_)(OH)_6_·3H_2_O,Pb<sub>3</sub>Sb(SO<sub>4</sub>)(AsO<sub>4</sub>)(OH)<sub>6</sub>·3H<sub>2</sub>O,Pb Sb S O As H
Mandarinoite,Fe^3+^_2_(Se^4+^O_3_)_3_·6H_2_O,Fe<sup>3+</sup><sub>2</sub>(Se<sup>4+</sup>O<sub>3</sub>)<sub>3</sub>·6H<sub>2</sub>O,Fe Se O H
Maneckiite,(Na[box])Ca_2_Fe^2+^_2_(Fe^3+^Mg)Mn^2+^_2_(P^5+^O_4_)_6_·2H_2_O,(Na[box])Ca<sub>2</sub>Fe<sup>2+</sup><sub>2</sub>(Fe<sup>3+</sup>Mg)Mn<sub>2</sub>(PO<sub>4</sub>)<sub>6</sub>·2H<sub>2</sub>O,Na Ca Fe Mg Mn P O H
Manganbelyankinite,"(Mn^2+^,Ca)(Ti^4+^,Nb^5+^)_5_O_12_·9H_2_O","Mn<sup>2+</sup>(Ti,Nb)<sub>5</sub>O<sub>12</sub>·9H<sub>2</sub>O",Mn Ti Nb O H
Manganflurlite,Zn^2+^Mn^2+^_3_Fe^3+^(PO_4_)_3_(OH)_2_(H_2_O)_7_·2H_2_O,ZnMn<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup>(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>2</sub>(H<sub>2</sub>O)<sub>7</sub>·2H<sub>2</sub>O,Zn Mn Fe P O H
Mangangordonite,Mn^2+^Al_2_(PO_4_)_2_(OH)_2_·8H_2_O,Mn<sup>2+</sup>Al<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Mn Al P O H
Manganoblodite,Na_2_Mn^2+^(SO_4_)_2_·4H_2_O,Na<sub>2</sub>Mn(SO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Na Mn S O H
Manganohornesite,Mn^2+^_3_(As^5+^O_4_)_2_·8H_2_O,Mn<sup>2+</sup><sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Mn As O H
Manganokukisvumite,Na_6_Mn^2+^Ti^4+^_4_Si_8_O_28_·4H_2_O,Na<sub>6</sub>MnTi<sub>4</sub>Si<sub>8</sub>O<sub>28</sub>·4H<sub>2</sub>O,Na Mn Ti Si O H
Manganosegelerite,Mn^2+^_2_Fe^3+^(PO_4_)_2_(OH)·4H_2_O,Mn<sup>2+</sup><sub>2</sub>Fe<sup>3+</sup>(PO<sub>4</sub>)<sub>2</sub>(OH)·4H<sub>2</sub>O,Mn Fe P O H
Mansfieldite,AlAs^5+^O_4_·2H_2_O,Al(AsO<sub>4</sub>)·2H<sub>2</sub>O,Al As O H
Mapimite,Zn^2+^_2_Fe^3+^_3_(As^5+^O_4_)_3_(OH)_4_·10H_2_O,Zn<sub>2</sub>Fe<sup>3+</sup><sub>3</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>·10H<sub>2</sub>O,Zn Fe As O H
Marecottite,Mg_3_O_6_(U^6+^O_2_)_8_(S^6+^O_4_)_4_(OH)_2_·28H_2_O,Mg<sub>3</sub>O<sub>6</sub>(UO<sub>2</sub>)<sub>8</sub>(SO<sub>4</sub>)<sub>4</sub>(OH)<sub>2</sub>·28H<sub>2</sub>O,Mg O U S H
Margaritasite,Cs^1+^_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_·H_2_O,Cs<sub>2</sub>(UO<sub>2</sub>)<sub>2</sub>(VO<sub>4</sub>)<sub>2</sub>·H<sub>2</sub>O,Cs U O V H
Marinellite,Na_42_Ca_6_Al_36_Si_36_O_144_(S^6+^O_4_)_8_Cl_2_·6H_2_O,Na<sub>42</sub>Ca<sub>6</sub>Al<sub>36</sub>Si<sub>36</sub>O<sub>144</sub>(SO<sub>4</sub>)<sub>8</sub>Cl<sub>2</sub>·6H<sub>2</sub>O,Na Ca Al Si O S Cl H
Markeyite,Ca_9_(U^6+^O_2_)_4_(CO_3_)_13_·28H_2_O,Ca<sub>9</sub>(UO<sub>2</sub>)<sub>4</sub>(CO<sub>3</sub>)<sub>13</sub>·28H<sub>2</sub>O,Ca U O C H
Marklite,Cu^2+^_5_(CO_3_)_2_(OH)_6_·6H_2_O,Cu<sub>5</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>6</sub>·6H<sub>2</sub>O,Cu C O H
Marthozite,Cu^2+^(U^6+^O_2_)_3_(Se^4+^O_3_)_2_O_2_·8H_2_O,Cu<sup>2+</sup>(UO<sub>2</sub>)<sub>3</sub>(Se<sup>4+</sup>O<sub>3</sub>)<sub>2</sub>O<sub>2</sub>·8H<sub>2</sub>O,Cu U O Se H
Martinite,"(Na,[box],Ca)_12_Ca_4_(Si,S,B)_14_B_2_O_38_(OH,Cl)_2_F_2_·4H_2_O","(Na,[box],Ca)<sub>12</sub>Ca<sub>4</sub>(Si,S,B)<sub>14</sub>B<sub>2</sub>O<sub>38</sub>(OH,Cl)<sub>2</sub>F<sub>2</sub>·4H<sub>2</sub>O",Na Ca Si S B O H Cl F
Martyite,Zn^2+^_3_V^5+^_2_O_7_(OH)_2_·2H_2_O,Zn<sub>3</sub>V<sub>2</sub>O<sub>7</sub>(OH)<sub>2</sub>·2H<sub>2</sub>O,Zn V O H
Masuyite,Pb^2+^(U^6+^O_2_)_3_O_3_(OH)_2_·3H_2_O,Pb(UO<sub>2</sub>)<sub>3</sub>O<sub>3</sub>(OH)<sub>2</sub>·3H<sub>2</sub>O,Pb U O H
Matteuccite,NaHS^6+^O_4_·H_2_O,NaH(SO<sub>4</sub>)·H<sub>2</sub>O,Na H S O
Matulaite,Fe^3+^Al_7_(PO_4_)_4_(PO_3_OH)_2_(OH)_8_(H_2_O)_8_·8H_2_O,Fe<sup>3+</sup>Al<sub>7</sub>(PO<sub>4</sub>)<sub>4</sub>(PO<sub>3</sub>OH)<sub>2</sub>(OH)<sub>8</sub>(H<sub>2</sub>O)<sub>8</sub>·8H<sub>2</sub>O,Fe Al P O H
Mazzite-Na,Na_8_(Si_28_Al_8_)O_72_·30H_2_O,Na<sub>8</sub>(Si<sub>28</sub>Al<sub>8</sub>)O<sub>72</sub>·30H<sub>2</sub>O,Na Si Al O H
Mbobomkulite,"(Ni^2+^,Cu^2+^)Al_4_(N^5+^O_3_,S^6+^O_4_)_2_(OH)_12_·3H_2_O","(Ni,Cu)Al<sub>4</sub>(NO<sub>3</sub>,SO<sub>4</sub>)<sub>2</sub>(OH)<sub>12</sub>·3H<sub>2</sub>O",Ni Cu Al N O S H
Mcallisterite,Mg_2_[B_6_O_7_(OH)_6_]_2_·9H_2_O,Mg<sub>2</sub>[B<sub>6</sub>O<sub>7</sub>(OH)<sub>6</sub>]<sub>2</sub>·9H<sub>2</sub>O,Mg B O H
Mcauslanite,Fe^2+^_3_Al_2_(PO_4_)_3_(PO_3_OH)F·18H_2_O,Fe<sup>2+</sup><sub>3</sub>Al<sub>2</sub>(PO<sub>4</sub>)<sub>3</sub>(PO<sub>3</sub>OH)F·18H<sub>2</sub>O,Fe Al P O H F
Mckelveyite-(Y),"NaBa_3_(Ca,U^4+^)Y(CO_3_)_6_·3H_2_O","NaBa<sub>3</sub>(Ca,U)Y(CO<sub>3</sub>)<sub>6</sub>·3H<sub>2</sub>O",Na Ba Ca U Y C O H
Mcnearite,NaCa_5_(As^5+^O_4_)(As^5+^O_3_OH)_4_·4H_2_O,NaCa<sub>5</sub>(AsO<sub>4</sub>)(AsO<sub>3</sub>OH)<sub>4</sub>·4H<sub>2</sub>O,Na Ca As O H
Megacyclite,KNa_8_Si_9_O_18_(OH)_9_·19H_2_O,KNa<sub>8</sub>Si<sub>9</sub>O<sub>18</sub>(OH)<sub>9</sub>·19H<sub>2</sub>O,K Na Si O H
Meitnerite,(N^3-^H_4_)(U^6+^O_2_)(S^6+^O_4_)(OH)·2H_2_O,(NH<sub>4</sub>)(UO<sub>2</sub>)(SO<sub>4</sub>)(OH)·2H<sub>2</sub>O,N H U O S
Meixnerite,Mg_6_Al_2_(OH)_18_·4H_2_O,Mg<sub>6</sub>Al<sub>2</sub>(OH)<sub>16</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,Mg Al O H
Melanovanadite,CaV^4+^_2_V^5+^_2_O_10_·5H_2_O,"Ca(V<sup>5+</sup>,V<sup>4+</sup>)<sub>4</sub>O<sub>10</sub>·5H<sub>2</sub>O",Ca V O H
Melanterite,Fe^2+^S^6+^O_4_·7H_2_O,Fe(SO<sub>4</sub>)·7H<sub>2</sub>O,Fe S O H
Melcherite,Ba_2_Na_2_Mg[Nb^5+^_6_O_19_]·6H_2_O,Ba<sub>2</sub>Na<sub>2</sub>Mg[Nb<sub>6</sub>O<sub>19</sub>]·6H<sub>2</sub>O,Ba Na Mg Nb O H
Melkovite,[Ca_2_(H_2_O)_15_Ca(H_2_O)_6_][Mo^6+^_8_P_2_Fe^3+^_3_O_36_(OH)],CaFe<sup>3+</sup><sub>2</sub>Mo<sub>5</sub>O<sub>10</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>12</sub>·8H<sub>2</sub>O,Ca Fe Mo O P H
Mellite,Al_2_C_6_(COO)_6_·16H_2_O,Al<sub>2</sub>C<sub>6</sub>(COO)<sub>6</sub>·16H<sub>2</sub>O,Al C O H
Mendozite,NaAl(SO_4_)_2_·11H_2_O,NaAl(SO<sub>4</sub>)<sub>2</sub>·11H<sub>2</sub>O,Na Al S O H
Menezesite,Ba_3_MgZr^4+^_4_Nb^5+^_12_O_42_·12H_2_O,Ba<sub>3</sub>MgZr<sub>4</sub>Nb<sub>12</sub>O<sub>42</sub>·12H<sub>2</sub>O,Ba Mg Zr Nb O H
Meniaylovite,Ca_4_AlSi(SiO_4_)F_13_·12H_2_O,Ca<sub>4</sub>AlSi(SiO<sub>4</sub>)F<sub>13</sub>·12H<sub>2</sub>O,Ca Al Si O F H
Mereiterite,K_2_Fe^2+^(SO_4_)_2_·4H_2_O,K<sub>2</sub>Fe<sup>2+</sup>(SO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,K Fe S O H
Meridianiite,MgS^6+^O_4_·11H_2_O,Mg(SO<sub>4</sub>)·11H<sub>2</sub>O,Mg S O H
Merlinoite,K_5_Ca_2_(Si_23_Al_9_)O_64_·24H_2_O,K<sub>5</sub>Ca<sub>2</sub>(Si<sub>23</sub>Al<sub>9</sub>)O<sub>64</sub>·24H<sub>2</sub>O,K Ca Si Al O H
Mesaite,CaMn^2+^_5_(V^5+^_2_O_7_)_3_·12H_2_O,CaMn<sup>2+</sup><sub>5</sub>(V<sub>2</sub>O<sub>7</sub>)<sub>3</sub>·12H<sub>2</sub>O,Ca Mn V O H
Mesolite,Na_2_Ca_2_(Si_9_Al_6_)O_30_·8H_2_O,Na<sub>2</sub>Ca<sub>2</sub>(Si<sub>9</sub>Al<sub>6</sub>)O<sub>30</sub>·8H<sub>2</sub>O,Na Ca Si Al O H
Messelite,Ca_2_Fe^2+^(PO_4_)_2_·2H_2_O,Ca<sub>2</sub>Fe<sup>2+</sup>(PO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Ca Fe P O H
Meta-aluminite,Al_2_SO_4_(OH)_4_·5H_2_O,Al<sub>2</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>·5H<sub>2</sub>O,Al S O H
Meta-alunogen,Al_4_(SO_4_)_6_·27H_2_O,Al<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>·14H<sub>2</sub>O,Al S O H
Meta-ankoleite,K(UO_2_)(PO_4_)·3H_2_O,K(UO<sub>2</sub>)(PO<sub>4</sub>)·3H<sub>2</sub>O,K U O P H
Meta-autunite,Ca(UO_2_)_2_(PO_4_)_2_·6H_2_O,Ca(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O,Ca U O P H
Metacalciouranoite,"(Ca,Na,Ba)U_2_O_7_·2H_2_O","(Ca,Na,Ba)U<sub>2</sub>O<sub>7</sub>·2H<sub>2</sub>O",Ca Na Ba U O H
Metaheinrichite,Ba(U^6+^O_2_)_2_(As^5+^O_4_)_2_·8H_2_O,Ba(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Ba U O As H
Metahewettite,CaV^5+^_6_O_16_·3H_2_O,CaV<sup>5+</sup><sub>6</sub>O<sub>16</sub>·3H<sub>2</sub>O,Ca V O H
Metahohmannite,Fe^3+^_2_O(S^6+^O_4_)_2_·4H_2_O,Fe<sup>3+</sup><sub>2</sub>O(SO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Fe O S H
Metakahlerite,Fe^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_·8H_2_O,Fe<sup>2+</sup>(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Fe U O As H
Metakirchheimerite,Co^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_·8H_2_O,Co(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Co U O As H
Metalodevite,Zn^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_·10H_2_O,Zn(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·10H<sub>2</sub>O,Zn U O As H
Metanatroautunite,Na(UO_2_)(PO_4_)·3H_2_O,Na(UO<sub>2</sub>)(PO<sub>4</sub>)·3H<sub>2</sub>O,Na U O P H
Metanovacekite,Mg(U^6+^O_2_)_2_(As^5+^O_4_)_2_·4-8H_2_O,Mg(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Mg U O As H
Metarauchite,Ni^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_·8H_2_O,Ni(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Ni U O As H
Metarossite,CaV^5+^_2_O_6_·2H_2_O,CaV<sup>5+</sup><sub>2</sub>O<sub>6</sub>·2H<sub>2</sub>O,Ca V O H
Metasaleeite,Mg(UO_2_)_2_(PO_4_)_2_·8H_2_O,Mg(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Mg U O P H
Metaschoderite,AlPO_4_·3H_2_O,Al(PO<sub>4</sub>)·3H<sub>2</sub>O,Al P O H
Metaschoepite,(UO_2_)_8_O_2_(OH)_12_·10H_2_O,(UO<sub>2</sub>)<sub>8</sub>O<sub>2</sub>(OH)<sub>12</sub>·10H<sub>2</sub>O,U O H
Metasideronatrite,Na_2_Fe^3+^(SO_4_)_2_(OH)·H_2_O,Na<sub>2</sub>Fe<sup>3+</sup>(SO<sub>4</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O,Na Fe S O H
Metastudtite,(UO_2_)O_2_(H_2_O)_2_,UO<sub>4</sub>·2H<sub>2</sub>O,U O H
Metaswitzerite,Mn^2+^_3_(PO_4_)_2_·4H_2_O,Mn<sup>2+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Mn P O H
Metatorbernite,Cu^2+^(U^6+^O_2_)_2_(P^5+^O_4_)_2_·8H_2_O,Cu(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Cu U O P H
Metatyuyamunite,Ca(U^6+^O_2_)_2_(V^5+^O_4_)_2_·3H_2_O,Ca(UO<sub>2</sub>)<sub>2</sub>(VO<sub>4</sub>)<sub>2</sub>·3H<sub>2</sub>O,Ca U O V H
Metauranocircite-I,Ba(UO_2_)_2_(PO_4_)_2_·8H_2_O,Ba(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O,Ba U O P H
Metauranopilite,(UO_2_)_6_SO_4_(OH)_10_·5H_2_O,(UO<sub>2</sub>)<sub>6</sub>(SO<sub>4</sub>)(OH)<sub>10</sub>·5H<sub>2</sub>O,U O S H
Metauranospinite,Ca(U^6+^O_2_)_2_(As^5+^O_4_)_2_·8H_2_O,Ca(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Ca U O As H
Metavanmeersscheite,U(UO_2_)_3_(PO_4_)_2_(OH)_6_·2H_2_O,U(UO<sub>2</sub>)<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O,U O P H
Metavanuralite,Al(U^6+^O_2_)_2_(V^5+^O_4_)_2_(OH)·8H_2_O,Al(UO<sub>2</sub>)<sub>2</sub>(VO<sub>4</sub>)<sub>2</sub>(OH)·8H<sub>2</sub>O,Al U O V H
Metavariscite,AlPO_4_·2H_2_O,Al(PO<sub>4</sub>)·2H<sub>2</sub>O,Al P O H
Metavauxite,Fe^2+^Al_2_(PO_4_)_2_(OH)_2_·8H_2_O,Fe<sup>2+</sup>Al<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Fe Al P O H
Metavivianite,Fe^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·6H_2_O,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·6H<sub>2</sub>O,Fe P O H
Metavoltine,K_2_Na_6_Fe^2+^Fe^3+^_6_O_2_(SO_4_)_12_·18H_2_O,K<sub>2</sub>Na<sub>6</sub>Fe<sup>2+</sup>Fe<sup>3+</sup><sub>6</sub>O<sub>2</sub>(SO<sub>4</sub>)<sub>12</sub>·18H<sub>2</sub>O,K Na Fe O S H
Metazellerite,Ca(UO_2_)(CO_3_)_2_·3H_2_O,Ca(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>2</sub>·3H<sub>2</sub>O,Ca U O C H
Metazeunerite,Cu^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_·8H_2_O,Cu(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Cu U O As H
Meurigite-K,[K(H_2_O)_2.5_][Fe^3+^_8_(PO_4_)_6_(OH)_7_]·4H_2_O,KFe<sup>3+</sup><sub>8</sub>(PO<sub>4</sub>)<sub>6</sub>(OH)<sub>7</sub>·6.5H<sub>2</sub>O,K Fe P O H
Meyerhofferite,CaB_3_O_3_(OH)_5_·H_2_O,CaB<sub>3</sub>O<sub>3</sub>(OH)<sub>5</sub>·H<sub>2</sub>O,Ca B O H
Meymacite,WO_3_·2H_2_O,WO<sub>3</sub>·2H<sub>2</sub>O,W O H
Meyrowitzite,Ca(U^6+^O_2_)(CO_3_)_2_·5H_2_O,Ca(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>2</sub>·5H<sub>2</sub>O,Ca U O C H
Micheelsenite,"(Ca,Y)_3_Al(PO_3_OH)CO_3_(OH)_6_·12H_2_O","(Ca,Y)<sub>3</sub>Al(PO<sub>3</sub>OH)(CO<sub>3</sub>)(OH)<sub>6</sub>·12H<sub>2</sub>O",Ca Y Al P O H C
Middendorfite,"K_3_Na_2_Mn^2+^_5_Si_12_(O,OH)_36_·2H_2_O","K<sub>3</sub>Na<sub>2</sub>Mn<sub>5</sub>Si<sub>12</sub>(O,OH)<sub>36</sub>·2H<sub>2</sub>O",K Na Mn Si O H
Milarite,KCa_2_(Be_2_AlSi_12_O_30_)·xH_2_O,KCa<sub>2</sub>(Be<sub>2</sub>AlSi<sub>12</sub>)O<sub>30</sub>·H<sub>2</sub>O,K Ca Be Al Si O H
Millisite,NaCaAl_6_(PO_4_)_4_(OH)_9_·3H_2_O,NaCaAl<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>9</sub>·3H<sub>2</sub>O,Na Ca Al P O H
Minasragrite,V^4+^O(SO_4_)·5H_2_O,V<sup>4+</sup>O(SO<sub>4</sub>)·5H<sub>2</sub>O,V O S H
Minguzzite,K_3_Fe^3+^((C_2_)^6+^O_4_)_3_·3H_2_O,K<sub>3</sub>Fe<sup>3+</sup>(C<sub>2</sub>O<sub>4</sub>)<sub>3</sub>·3H<sub>2</sub>O,K Fe C O H
Minohlite,"(Cu^2+^,Zn^2+^)_7_(S^6+^O_4_)_2_(OH)_10_·8H_2_O","(Cu,Zn)<sub>7</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>10</sub>·8H<sub>2</sub>O",Cu Zn S O H
Minyulite,KAl_2_(PO_4_)_2_F·4H_2_O,KAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F·4H<sub>2</sub>O,K Al P O F H
Mirabilite,Na_2_SO_4_·10H_2_O,Na<sub>2</sub>(SO<sub>4</sub>)·10H<sub>2</sub>O,Na S O H
Mitridatite,Ca_2_Fe^3+^_3_O_2_(PO_4_)_3_·3H_2_O,Ca<sub>2</sub>Fe<sup>3+</sup><sub>3</sub>O<sub>2</sub>(PO<sub>4</sub>)<sub>3</sub>·3H<sub>2</sub>O,Ca Fe O P H
Mitryaevaite,"Al_5_(PO_4_)_2_[(P,S)O_3_(OH,O)]_2_F_2_(OH)_2_·14.5H_2_O","Al<sub>5</sub>(PO<sub>4</sub>)<sub>2</sub>[(P,S)O<sub>3</sub>(OH,O)]<sub>2</sub>F<sub>2</sub>(OH)<sub>2</sub>·14.5H<sub>2</sub>O",Al P O S H F
Mitscherlichite,K_2_Cu^2+^Cl_4_·2H_2_O,K<sub>2</sub>CuCl<sub>4</sub>·2H<sub>2</sub>O,K Cu Cl H O
Mixite,Cu^2+^_6_Bi^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu<sub>6</sub>Bi(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Cu Bi As O H
Mohrite,(N^3-^H_4_)_2_Fe^2+^(S^6+^O_4_)_2_·6H_2_O,(NH<sub>4</sub>)<sub>2</sub>Fe<sup>2+</sup>(SO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O,N H Fe S O
Moluranite,H_4_U^4+^(U^6+^O_2_)_3_(Mo^6+^O_4_)_7_·18H_2_O,H<sub>4</sub>U<sup>4+</sup>(UO<sub>2</sub>)<sub>3</sub>(MoO<sub>4</sub>)<sub>7</sub>·18H<sub>2</sub>O,H U O Mo
Molybdophyllite,Pb_8_Mg_9_[Si_10_O_30_(OH)_8_(CO_3_)_3_]·H_2_O,Pb<sub>8</sub>Mg<sub>9</sub>[Si<sub>10</sub>O<sub>28</sub>(OH)<sub>8</sub>O<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>]·H<sub>2</sub>O,Pb Mg Si O H C
Mongolite,Ca_4_Nb^5+^_6_Si_5_O_24_(OH)_10_·6H_2_O,Ca<sub>4</sub>Nb<sub>6</sub>Si<sub>5</sub>O<sub>24</sub>(OH)<sub>10</sub>·6H<sub>2</sub>O,Ca Nb Si O H
Monohydrocalcite,CaCO_3_·H_2_O,Ca(CO<sub>3</sub>)·H<sub>2</sub>O,Ca C O H
Montanite,Bi^3+^_2_Te^6+^O_6_·2H_2_O,Bi<sup>3+</sup><sub>2</sub>Te<sup>6+</sup>O<sub>6</sub>·2H<sub>2</sub>O,Bi Te O H
Monteregianite-(Y),KNa_2_YSi_8_O_19_·5H_2_O,KNa<sub>2</sub>YSi<sub>8</sub>O<sub>19</sub>·5H<sub>2</sub>O,K Na Y Si O H
Montetrisaite,Cu^2+^_6_(S^6+^O_4_)(OH)_10_·2H_2_O,Cu<sub>6</sub>(SO<sub>4</sub>)(OH)<sub>10</sub>·2H<sub>2</sub>O,Cu S O H
Montgomeryite,Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_·12H_2_O,Ca<sub>4</sub>MgAl<sub>4</sub>(PO<sub>4</sub>)<sub>6</sub>(OH)<sub>4</sub>·12H<sub>2</sub>O,Ca Mg Al P O H
Montroyalite,Sr_4_Al_8_(CO_3_)_3_(OH)_26_·10H_2_O,Sr<sub>4</sub>Al<sub>8</sub>(CO<sub>3</sub>)<sub>3</sub>(OH)<sub>26</sub>·10H<sub>2</sub>O,Sr Al C O H
Mooreite,Mg_15_(S^6+^O_4_)_2_(OH)_26_·8H_2_O,Mg<sub>15</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>26</sub>·8H<sub>2</sub>O,Mg S O H
Moorhouseite,Co^2+^S^6+^O_4_·6H_2_O,Co(SO<sub>4</sub>)·6H<sub>2</sub>O,Co S O H
Moraesite,Be_2_PO_4_(OH)·4H_2_O,Be<sub>2</sub>(PO<sub>4</sub>)(OH)·4H<sub>2</sub>O,Be P O H
